EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
EUR/USD,1057,19/07/2019 16:51:23,Buy,10,1.11034,1.11024,0,-100,Molokozavod
